ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,IDADE,COMPUTADOR,MORA_MÃE,MORA_PAI,REUNIÕES_ESCOLARES,USO_TEMPO_TELAS,AFAZERES_DOM,BIBLIOTECA
2017,3,35,3541406,2,3,1,161465658,171353443,A,C,C,D,A,A,B,D,E,A
2017,4,42,4202156,2,3,1,252375271,216075633,B,F,NA,B,A,C,B,D,B,A
2017,2,26,2605103,2,3,1,221989132,276175815,B,C,C,B,A,A,A,A,A,B
2017,3,35,3535309,2,3,1,221476378,270290073,A,B,D,A,A,A,B,B,B,C
2017,2,21,2104800,2,3,2,121910827,167871574,B,C,C,B,A,NA,NA,B,D,C
2017,3,31,3106200,1,3,1,23360386,267061788,A,A,D,A,A,B,A,D,B,B
2017,2,29,2927408,1,3,1,191292819,232522957,A,C,F,A,A,A,A,E,C,A
2017,2,29,2910057,2,3,1,254195225,233121563,B,A,H,A,C,C,C,D,A,B
2017,4,43,6310376,2,2,1,232067747,189528733,A,C,D,A,A,A,NA,A,A,A
2017,2,26,2606408,2,3,1,192217285,175366512,A,C,C,B,A,B,B,D,B,A
2017,2,22,2200905,2,3,1,104104872,171959819,A,C,D,C,NA,A,A,B,E,C
2017,2,29,2916302,2,3,1,221935527,193011887,B,A,D,B,A,B,A,E,C,C
2017,2,22,2206803,2,3,1,133892476,192771327,B,E,C,A,A,B,A,B,A,C
2017,4,41,4124707,2,3,1,261676077,25108301,A,A,C,C,A,A,A,C,A,B
2017,5,53,5300108,1,2,1,286708242,248536053,B,F,D,B,A,A,A,A,C,C
2017,2,23,2304400,1,3,1,212593896,207300705,B,A,D,B,C,B,A,D,B,B
2017,3,35,3530607,2,3,1,174767069,175761838,B,C,C,A,A,B,A,A,A,A
2017,3,31,3147907,2,2,1,226234572,238506733,A,E,D,A,A,A,B,A,D,B
2017,3,33,3304557,1,3,1,201063461,257156773,B,F,D,B,A,B,A,C,A,C
2017,2,24,2403251,2,3,1,250145312,204148937,B,C,C,A,A,C,B,A,A,A
2017,2,23,2304400,1,3,1,222851784,229417411,A,E,F,A,A,B,B,B,E,B
2017,2,21,2108207,2,3,1,248394996,187578482,B,C,C,B,A,B,A,E,A,A
2017,4,41,4109401,2,3,1,216024009,220157506,A,A,C,C,A,A,A,D,C,A
2017,2,23,2300754,2,3,1,265045587,207755948,B,C,D,A,A,A,A,B,E,A
2017,3,35,3534401,2,3,1,200299261,222392304,A,A,C,B,A,B,B,D,A,C
2017,3,31,3106705,2,3,1,24830635,224348312,B,C,C,A,A,A,C,A,B,B
2017,1,15,1503309,2,3,1,140996104,165264253,B,C,C,A,C,C,C,B,A,C
2017,5,52,5212501,2,3,1,223631135,215213606,B,C,D,A,A,A,A,E,D,B
2017,4,43,4304200,2,3,2,251494493,279489615,B,A,D,B,A,A,A,A,A,A
2017,2,26,2611101,2,3,2,189687343,177813813,A,A,C,A,A,B,B,D,A,A
2017,1,11,1100296,2,3,1,186270012,215468139,A,A,D,A,A,C,A,C,E,A
2017,2,28,2804805,2,3,1,226965661,159460953,B,B,E,A,A,B,C,E,E,B
2017,3,33,3302502,2,3,1,147891314,123478646,A,B,D,A,A,B,A,C,A,B
2017,4,43,4300406,2,2,1,177706079,172742311,A,A,F,B,A,A,A,E,C,B
2017,2,27,2709202,2,3,2,135564395,151583711,B,F,E,NA,A,A,A,D,D,A
2017,2,26,2614600,2,3,1,209249288,211704965,B,C,D,A,A,C,A,D,A,C
2017,3,35,3543402,2,2,1,252452512,218792168,B,B,D,E,A,B,B,C,A,A
2017,4,41,4104808,2,3,1,192720673,190495391,A,A,E,A,A,A,C,D,A,C
2017,2,24,2408102,1,3,1,259367114,234335545,B,F,C,A,A,A,A,D,E,A
2017,2,22,2211001,1,3,1,178941382,185911103,B,C,F,B,B,B,C,B,A,B
2017,1,13,1301902,2,3,1,139929166,169580147,B,A,NA,A,B,A,A,C,C,C
2017,4,42,4205704,2,2,1,240158097,241351709,B,A,E,C,A,C,A,C,B,B
2017,5,52,5208707,1,3,1,158028603,178901813,B,E,B,B,A,A,A,A,A,A
2017,2,28,2803005,2,3,1,201224224,216353418,B,A,D,A,A,A,B,A,B,B
